Contract Number,Project Number,GSAR,GQAC,Service Contract Reporting,Warranties
N4425518D5023,50056,0,0,1,0
N4425519F4072,50056,0,0,1,0
,50056,0,0,1,0
70Z08718CPJT30400,50056,0,0,0,1
140D8118C0004,50056,0,0,0,1
FA486118CA023,50056,0,0,0,0
W911KB18C0042,50056,0,0,0,1
70B01C18C00000193,50056,0,0,1,0
,50056,0,0,0,1
75H71219P00039,50056,0,0,0,1
FA486119PA050,50056,0,0,0,1
FA4861-19-P-A116,50056,0,0,0,1
HSCG87-15-J-PJT057,50056,0,0,0,1
HSCG87-17-J-PJT772,50056,0,0,0,1
L17PC00072,50056,0,0,1,0
